protein,elastic_network,time_ps,rmsd_nm
smyomerger,True,0.0,0.0049893
smyomerger,True,10000.0,0.4595416
smyomerger,True,20000.0,0.5465372
smyomerger,True,30000.0,0.4384006
smyomerger,True,40000.0,0.4158109
smyomerger,True,50000.0,0.4818769
smyomerger,True,60000.0,0.5507693
smyomerger,True,70000.0,0.4978442
smyomerger,True,80000.0,0.4017392
smyomerger,True,90000.0,0.5341871
smyomerger,True,100000.0,0.4445616
smyomerger,True,110000.0,0.4924087
smyomerger,True,120000.0,0.4050029
smyomerger,True,130000.0,0.3890179
smyomerger,True,140000.0,0.4790246
smyomerger,True,150000.0,0.5034249
smyomerger,True,160000.0,0.4542719
smyomerger,True,170000.0,0.4122188
smyomerger,True,180000.0,0.4275869
smyomerger,True,190000.0,0.4088309
smyomerger,True,200000.0,0.4668807
smyomerger,True,210000.0,0.4292092
smyomerger,True,220000.0,0.4571958
smyomerger,True,230000.0,0.4140779
smyomerger,True,240000.0,0.4237349
smyomerger,True,250000.0,0.4855794
smyomerger,True,260000.0,0.4699673
smyomerger,True,270000.0,0.4681089
smyomerger,True,280000.0,0.4351413
smyomerger,True,290000.0,0.4204277
smyomerger,True,300000.0,0.388456
smyomerger,True,310000.0,0.5324529
smyomerger,True,320000.0,0.437663
smyomerger,True,330000.0,0.4579023
smyomerger,True,340000.0,0.4560394
smyomerger,True,350000.0,0.4339972
smyomerger,True,360000.0,0.4730652
smyomerger,True,370000.0,0.4124446
smyomerger,True,380000.0,0.3912936
smyomerger,True,390000.0,0.43515
smyomerger,True,400000.0,0.4456849
smyomerger,True,410000.0,0.4287522
smyomerger,True,420000.0,0.4112639
smyomerger,True,430000.0,0.453398
smyomerger,True,440000.0,0.4613708
smyomerger,True,450000.0,0.4167497
smyomerger,True,460000.0,0.430207
smyomerger,True,470000.0,0.4937293
smyomerger,True,480000.0,0.4546641
smyomerger,True,490000.0,0.4275448
smyomerger,True,500000.0,0.4161979
smyomerger,True,510000.0,0.3920808
smyomerger,True,520000.0,0.4674348
smyomerger,True,530000.0,0.3993561
smyomerger,True,540000.0,0.3914839
smyomerger,True,550000.0,0.4050305
smyomerger,True,560000.0,0.4933372
smyomerger,True,570000.0,0.4150856
smyomerger,True,580000.0,0.466688
smyomerger,True,590000.0,0.5272407
smyomerger,True,600000.0,0.4640044
smyomerger,True,610000.0,0.4488271
smyomerger,True,620000.0,0.4484745
smyomerger,True,630000.0,0.4834528
